"player","white_games","black_games","total"
"ZM_Master","31","28","59"
"Zvonimiro","30","29","59"
"Believe_In_You","29","29","58"
"GotYourPieces","29","29","58"
"Mitrabha","29","29","58"
"N0puedeser","28","30","58"
"Neverstopberserk","31","27","58"
"ItsFckngZomboy","28","29","57"
"Jschess1","28","29","57"
"Nyekha","28","29","57"
"Prickly","27","29","56"
"ShadowKing78","29","27","56"
"sholathelion","28","28","56"
"SixtyFourSQGangster","26","30","56"
"Tazzz333","28","28","56"
"Yusuffer","27","29","56"
"HappyHippo10","26","29","55"
"ice48","26","29","55"
"jamin8567","27","28","55"
"Javi_Berserk","28","27","55"
"Marlborolightman","29","26","55"
"mikusz","28","27","55"
"RezaLona64","29","26","55"
"Sokolov_Dmitry","25","30","55"
"ZRY97","26","29","55"
"Ilmiron","27","27","54"
"ISOVAKO","26","28","54"
"ItachiUchihazerkkkkk","26","28","54"
"pasha_yashar","29","25","54"
"Serega1975","28","26","54"
"Barizoff","28","25","53"
"grob228_1","27","26","53"
"Nahijeetpaaogemujhse","26","27","53"
"Radulesku","26","27","53"
"TC80TC80","27","26","53"
"JacopoM","27","25","52"
"jasaospbr","26","26","52"
"LetItFlow8000","25","27","52"
"letthemitEatCake","24","28","52"
"NewAtagi","24","28","52"
"Parkour_444","25","27","52"
"Stelldichein","26","26","52"
"The_Void_Which_Binds","25","27","52"
"Adriano2021","25","26","51"
"ahhh6e35e44e73e62nd5","24","27","51"
"andrpr","24","27","51"
"bayqus1","25","26","51"
"BraBaBaYaGaGa","25","26","51"
"chessbyron","24","27","51"
"Gerardoanimas111","24","27","51"
"PPavliukk","27","24","51"
"RUNAI","25","26","51"
"Arizyusubov1993","24","26","50"
"enea2012","24","26","50"
"KingQueen1234","26","24","50"
"LittlePawnFriends","27","23","50"
"Perronecochense","26","24","50"
"RaghuRam-2009","25","25","50"
"SV_salahsen","25","25","50"
"Chessblazer111","25","24","49"
"cristianhernan05","23","26","49"
"GrandmasterSer","26","23","49"
"Hoogkamp","27","22","49"
"nihalnshetty","24","25","49"
"panagiskosmatos","25","24","49"
"team_obasi","24","25","49"
"Fun-Way","24","24","48"
"leo_tokyo2","24","24","48"
"Psychiatristt","25","23","48"
"QueenMaster77","23","25","48"
"Sayam123","24","24","48"
"Copper_001","23","24","47"
"Director_Tima","23","24","47"
"evolsinats","24","23","47"
"Experimentator1","24","23","47"
"gafferz","23","24","47"
"Pes_2013","24","23","47"
"SFIGAMAN","23","24","47"
"A2H1to8","22","24","46"
"Chess82_v2","23","23","46"
"fwinner86","23","23","46"
"Haeschen_Huepf","22","24","46"
"manvik12","23","23","46"
"Marwan94","23","23","46"
"Sboniso205","23","23","46"
"ScorPion_228","23","23","46"
"Swastikaggarwal","21","25","46"
"ALNC","23","22","45"
"AndrewCunanan","23","22","45"
"BMKY","20","25","45"
"bogazesintisi","18","27","45"
"gdhjfs","22","23","45"
"Hackbond","24","21","45"
"manujimenez82","22","23","45"
"Official_Jag","19","26","45"
"PRIMAL_T","23","22","45"
"Aatu65536","26","18","44"
"DM_Rainking","20","24","44"
"Gillotina19","21","23","44"
"henelnacon","21","23","44"
"selobiyo","23","21","44"
"SheldonnCooper","22","22","44"
"chefmasterrock","20","23","43"
"Emanuel_Gutierez_GUA","20","23","43"
"FASA1977","23","20","43"
