"player","white_games","black_games","total"
"bashar_alusi","7","6","13"
"BATALLA","5","8","13"
"castlefort","6","7","13"
"cats6dogs","6","7","13"
"demirci44310","7","6","13"
"doddeshgh","7","6","13"
"dramosz1","6","7","13"
"Franek2019","7","6","13"
"gaidyk","5","8","13"
"Gargantua_Endurance","8","5","13"
"Gigi53","6","7","13"
"greyhound14","6","7","13"
"Hamzacherif1418","7","6","13"
"Imortal1964","6","7","13"
"Khajabegum","6","7","13"
"Kingsway74","7","6","13"
"Kolinizerking","7","6","13"
"LCHVRL_58","6","7","13"
"lionking63","5","8","13"
"maiaonly","8","5","13"
"manideepraj","6","7","13"
"MaricieloAtahua_UTP","8","5","13"
"Mark_Matuz","6","7","13"
"mauriziobessi","7","6","13"
"MichelOelsch","6","7","13"
"Mitootim","6","7","13"
"Mohamadhesame7","6","7","13"
"nademm1972","7","6","13"
"NJanapriya","5","8","13"
"paresineni","7","6","13"
"Pfefferstreuer","6","7","13"
"rafaeljcelda","6","7","13"
"Raksn","6","7","13"
"Ronie_Is","6","7","13"
"rravuri","8","5","13"
"RRNAT2315","6","7","13"
"Saisandhya","7","6","13"
"Serverux777","2","11","13"
"SNT_Igor","7","6","13"
"tiburon_2022","7","6","13"
"TreadmillGuy","6","7","13"
"UJJ1","6","7","13"
"victorce015","7","6","13"
"walikhan","6","7","13"
"Wessel4","6","7","13"
"YurySemenov","7","6","13"
"Abs53","5","7","12"
"Alekcey27","7","5","12"
"Alik19852","4","8","12"
"anasta545","7","5","12"
"Araik0103","6","6","12"
"atamilan","6","6","12"
"Azshara","5","7","12"
"Blishelegacy","6","6","12"
"Bobbyrt1","1","11","12"
"BorderIncident","6","6","12"
"Buka11","9","3","12"
"Charlisky","5","7","12"
"chessbenn","5","7","12"
"CSZzzz","7","5","12"
"cwr4356","2","10","12"
"doun1681","6","6","12"
"Durga19","7","5","12"
"elmonitorojo1368","6","6","12"
"elses_hoseinzadeh","6","6","12"
"Enzinuccio","5","7","12"
"expositor","4","8","12"
"fgraillot","6","6","12"
"frankdz85","7","5","12"
"fsha","5","7","12"
"gandalf07","7","5","12"
"georgeorosz","5","7","12"
"GeorgeSoviet","6","6","12"
"Grischa42","5","7","12"
"halilibo65","5","7","12"
"Hangbrutz","6","6","12"
"harrypotter951121","3","9","12"
"heartbreakid","7","5","12"
"Ibrahim-tayel","6","6","12"
"IGORFIST","5","7","12"
"jo178","5","7","12"
"keko132","7","5","12"
"kingclash051","7","5","12"
"kinggod7000","7","5","12"
"kittenon","6","6","12"
"korkor62","5","7","12"
"laloimaz","8","4","12"
"M_fouda","9","3","12"
"ManueljaMartinez","6","6","12"
"michalgrzanka","4","8","12"
"Minnella8","7","5","12"
"MMK786","6","6","12"
"mr_runner","6","6","12"
"myouan","6","6","12"
"Naibator1","5","7","12"
"Nandkumar123","8","4","12"
"Nash85","5","7","12"
"Nikitosikbot","5","7","12"
"oguz_03","6","6","12"
"perretemojao","6","6","12"
"raazysh","6","6","12"
"Rambalohery","8","4","12"
"RintuJoly","7","5","12"
"RTAA1931","1","11","12"
"sAkshinthala","6","6","12"
"serjiomao","7","5","12"
"sourabhpandey262","5","7","12"
"stburr","6","6","12"
"Stoliza","7","5","12"
"tyler_durden_13","5","7","12"
"URecknagel","6","6","12"
"vancibarljamov","7","5","12"
"Vikram999","6","6","12"
"Vizn59","6","6","12"
"Weonqjuegaajedrez","6","6","12"
"zafran2014","7","5","12"
"zimi1957","7","5","12"
"AldricMoses","6","5","11"
"Almadora100theGreat","5","6","11"
"Alphha","4","7","11"
"Andressing","5","6","11"
"Andrew-0","5","6","11"
"Aner77","5","6","11"
"Arminius-Rheinland","5","6","11"
"Azulroberto","6","5","11"
"Bharath_27","6","5","11"
"bjanne","6","5","11"
"CardanSr","6","5","11"
"CELBBRUNOb","6","5","11"
"chessnator1972","4","7","11"
"Chesspirito63","7","4","11"
"club14_dd","6","5","11"
"cuare","4","7","11"
"DR-A-N-ALKHATIB","7","4","11"
"edugr","5","6","11"
"FO32","6","5","11"
"g01d2nk2d","6","5","11"
"goodB22","7","4","11"
"herbProestler","5","6","11"
"Hossam12344","7","4","11"
"hpwanzeler","6","5","11"
"ISSAGADOM","4","7","11"
"isweerasinghe","5","6","11"
"joaquin2","9","2","11"
"jojo34xvz","7","4","11"
"Jormel48","6","5","11"
"joshiy","7","4","11"
"KASPAROV_200","7","4","11"
"KingOt-nave39","6","5","11"
"koji-yokohama","6","5","11"
"lady-ha","5","6","11"
"lapu21","5","6","11"
"marcofi","5","6","11"
"MississippiUSA","6","5","11"
"Mr_Spy_hat","5","6","11"
"Nahuelfuse","5","6","11"
"nugis_aleksandr","6","5","11"
"Nukanaboyena","5","6","11"
"Olek2016","5","6","11"
"pst500","8","3","11"
"queensgambit82","6","5","11"
"RaspFish","5","6","11"
"santhosh_12","7","4","11"
"SaurcA97","4","7","11"
"Seppolino","5","6","11"
"sherief4","5","6","11"
"spacenaru","5","6","11"
"ssanaboyina","5","6","11"
"tofik56","5","6","11"
"TWAd","3","8","11"
"Un1977","6","5","11"
"vladimir4969","5","6","11"
"wkraw","3","8","11"
"Woodpusher65","5","6","11"
"zakaria51","5","6","11"
"Abdylkadirchempion","6","4","10"
"Advaithccs","5","5","10"
"Ahar82","3","7","10"
"Alertaaaaa","6","4","10"
"AlexGoz","5","5","10"
"Alibea48","4","6","10"
"Alibruad","6","4","10"
"Andreisha","5","5","10"
"Arzikul","5","5","10"
"athavva","5","5","10"
"Avelan","5","5","10"
"Avotiana","5","5","10"
"Awinash","5","5","10"
"b_negrov","5","5","10"
"benidola","6","4","10"
"blackholeuniverse","4","6","10"
"blackyschessreturn","5","5","10"
"CAPANEGRAHABANA","6","4","10"
"chakravarthisravanth","5","5","10"
"dadmoni","4","6","10"
"Dantoro55","5","5","10"
"delcastillo58","5","5","10"
"DirtyHarry1900","6","4","10"
"dkdkekfkr","5","5","10"
"ErdalTurkey","4","6","10"
"EvilTurtl","5","5","10"
"Evrostos","5","5","10"
"fabio248","5","5","10"
"FCG50","7","3","10"
"FedeyRico","4","6","10"
"GarryBrain","6","4","10"
"glossator","5","5","10"
"Grand-Monster","5","5","10"
"Hefezopf22","4","6","10"
"hellochandu","4","6","10"
"hsnhsn9999","5","5","10"
"humza619","4","6","10"
"ian427","5","5","10"
"IzZAaN11","5","5","10"
"jmtiss","5","5","10"
"JoMaSV","4","6","10"
"kottepeta3600","6","4","10"
"L_A_I","5","5","10"
"lakshmanlucky12","4","6","10"
"LILVENGR","6","4","10"
"lnirosha","4","6","10"
"Lynx_BOT","4","6","10"
"Majko","5","5","10"
"marineone","6","4","10"
"masnas","4","6","10"
"meganium21","4","6","10"
"Mikiroch","6","4","10"
"moloko30","6","4","10"
"NegroNegroni","5","5","10"
"Night-King11","5","5","10"
"pascualillo","5","5","10"
"Peapop","5","5","10"
"peekola","6","4","10"
"PokemonGoSuperstar","5","5","10"
"PowerfulPatzer","4","6","10"
"Pralladi","5","5","10"
"QueenHumper","5","5","10"
"Raghav_Rathi-1","6","4","10"
"rambathri","5","5","10"
"Raydock","5","5","10"
"Rearlock","7","3","10"
"ReinforcementTrial","5","5","10"
"RITVIK_2012","5","5","10"
"RobinAndi97","3","7","10"
"Roma20130202","5","5","10"
"romanavanesov","5","5","10"
"Rony971","5","5","10"
"santinatreesacijo","5","5","10"
"sconed","5","5","10"
"SergeySeversk","5","5","10"
"shahrooz5575","5","5","10"
"Sinaf1991","8","2","10"
"Sshake_x","4","6","10"
"Sultanmuxtar","5","5","10"
"SUPERGalloRicardo","5","5","10"
"swathiannaram","5","5","10"
"Terminator0815","5","5","10"
"thierryjeanmarc","5","5","10"
"tonytwins","5","5","10"
"treskallen","7","3","10"
"TruthAlwaysWins","5","5","10"
"Tyburon1","5","5","10"
"umerlavchera","4","6","10"
"vadia3003","5","5","10"
"vishwakarmas","5","5","10"
"WillyBChessin","5","5","10"
"zeekat","4","6","10"
"zixuan2009","4","6","10"
"abdualnassr13523","5","4","9"
"Acerb8","4","5","9"
"AKS-Mantissa","2","7","9"
"Alekslpumt","4","5","9"
"alezingo","5","4","9"
"AlfilOscuro","4","5","9"
"amnolizard","5","4","9"
"Amvsh","5","4","9"
"andreosandrey","5","4","9"
"andresduran67","4","5","9"
"ARKAD684","2","7","9"
"Arlette68","4","5","9"
"ashraf7788819","6","3","9"
"azam_nouri","5","4","9"
"bearcat1968","5","4","9"
"bejjala","3","6","9"
"BHTCHESS","4","5","9"
"bigbillbronzy","5","4","9"
"biojazz18","5","4","9"
"Birzi","4","5","9"
"bluegregg","4","5","9"
"BorisStasjuk","4","5","9"
"bsrikanthreddy","5","4","9"
"Calvelame","4","5","9"
"carlossandoval1949","6","3","9"
"Cg012","5","4","9"
"Chenampally","5","4","9"
"ChessGambit_A","4","5","9"
"chessman1986","5","4","9"
"ChessshireKnight","4","5","9"
"Coconaud","5","4","9"
"CruddyRanger","2","7","9"
"culecuki","5","4","9"
"Delespacetryhard","4","5","9"
"delilakkurt47","5","4","9"
"Deniss4","4","5","9"
"didou2014","6","3","9"
"dkfl612","5","4","9"
"DmitrGodulian","4","5","9"
"Dneprianin","3","6","9"
"dvali","3","6","9"
"ELikeLoudi27","5","4","9"
"ESchroe","5","4","9"
"fboesch31","5","4","9"
"Fella8","5","4","9"
"FENER14","4","5","9"
"fraer21701","5","4","9"
"gannechinmai","5","4","9"
"Garik1607","5","4","9"
"geethasreed","6","3","9"
"GermaniaMagna","5","4","9"
"Goe68","5","4","9"
"gopirajuk","5","4","9"
"Guilloix","4","5","9"
"gurululu","4","5","9"
"hakanmaden","6","3","9"
"HalloweenBishop","5","4","9"
"Hermooooooovgeniy","4","5","9"
"Hitriy_russkiy","5","4","9"
"holgerloehr","6","3","9"
"Holopov","5","4","9"
"HorseShoeBoy","5","4","9"
"Htn125","4","5","9"
"i_gkogkornas","4","5","9"
"invisible_jerico23","5","4","9"
"Javan_S","4","5","9"
"Jorgeh55","5","4","9"
"kaiser1980","4","5","9"
"kanakaveedu","4","5","9"
"Kangleicha","3","6","9"
"karsonkong","3","6","9"
"Khanya95","5","4","9"
"kinight4hire","4","5","9"
"Kivi85","7","2","9"
"KnightTab","4","5","9"
"kometla","4","5","9"
"KRassadin","4","5","9"
"kth8645","4","5","9"
"Kuttuboina","5","4","9"
"L3on_1982","3","6","9"
"Lagov","5","4","9"
"Learning312","3","6","9"
"libgus","5","4","9"
"llamapope","3","6","9"
"MAGDALION","6","3","9"
"manoj_pothula","5","4","9"
"Maybestrategic","7","2","9"
"mekathoti","4","5","9"
"melekkocoglu","6","3","9"
"Merino-Daniel","5","4","9"
"MIKELANJELO777","5","4","9"
"Mohamedabo","5","4","9"
"MoisesBell","4","5","9"
"MonkeyArm","4","5","9"
"muhyiddindemir","4","5","9"
"Nahedo57","4","5","9"
"Nikolayzoro","4","5","9"
"NotAlexanderPetrov","5","4","9"
"Nur24214","4","5","9"
